证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
000001.SZ,平安银行,1991-04-03,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BBB,BBB,5,5,5,5,5,5,5,5,5,5,3,3
000002.SZ,万科A,1991-01-29,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,6,6,6,6,6,6,6,6,6,6,6,6
000004.SZ,国华网安,1991-01-14,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,B,BBB,3,2,3,3,3,3,3,3,3,1,1,3
000005.SZ,ST星源,1990-12-10,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000006.SZ,深振业A,1992-04-27,AAA,AAA,AAA,AAA,AAA,AAA,AA,AAA,AAA,AAA,AAA,AAA,6,6,6,6,6,6,5,6,6,6,6,6
000007.SZ,*ST全新,1992-04-13,A,A,A,BBB,BBB,BB,B,B,BBB,BBB,BB,B,4,4,4,3,3,2,1,1,3,3,2,1
000008.SZ,神州高铁,1992-05-07,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,3,3,3,3,3,3,2,3
000009.SZ,中国宝安,1991-06-25,AA,AA,BBB,A,A,AA,AA,AA,AA,AA,AA,A,5,5,3,4,4,5,5,5,5,5,5,4
000010.SZ,美丽生态,1995-10-27,BBB,BB,BB,BB,BBB,BB,BB,B,B,BB,CCC,CCC,3,2,2,2,3,2,2,1,1,2,0,0
000011.SZ,深物业A,1992-03-30,A,BBB,BBB,A,A,A,A,A,A,A,A,A,4,3,3,4,4,4,4,4,4,4,4,4
000012.SZ,南玻A,1992-02-28,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A,5,5,5,5,5,5,5,5,5,5,5,4
000014.SZ,沙河股份,1992-06-02,A,A,A,A,BBB,A,A,A,A,A,A,A,4,4,4,4,3,4,4,4,4,4,4,4
000016.SZ,深康佳A,1992-03-27,BBB,B,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,3,1,2,3,3,3,3,3,3,3,3,2
000017.SZ,*ST中华A,1992-03-31,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,BBB,BBB,BBB,3,3,3,3,3,3,3,2,2,3,3,3
000019.SZ,深粮控股,1992-10-12,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,AAA,AAA,3,3,3,3,3,3,3,3,3,3,6,6
000020.SZ,深华发A,1992-04-28,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,B,BB,BB,BBB,3,3,3,3,3,3,3,1,1,2,2,3
000021.SZ,深科技,1994-02-02,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,3,5,5,5,5,5,5,5,5,5,5
000023.SZ,深天地A,1993-04-29,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,BBB,BB,BB,3,3,3,3,3,3,3,1,2,3,2,2
000025.SZ,特力A,1993-06-21,A,A,A,A,A,A,A,BBB,BBB,A,A,A,4,4,4,4,4,4,4,3,3,4,4,4
000026.SZ,飞亚达,1993-06-03,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,6,6,6,6,6,6,6,6,6,6,6,6
000027.SZ,深圳能源,1993-09-03,AA,A,A,AA,AA,AA,AA,A,A,A,AA,AA,5,4,4,5,5,5,5,4,4,4,5,5
000028.SZ,国药一致,1993-08-09,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,6,6,6,6,6,6,6,6,6,6,6,6
000029.SZ,深深房A,1993-09-15,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000030.SZ,富奥股份,1993-09-29,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,2,3,3,3,3,3,3,3,3,3,3
000031.SZ,大悦城,1993-10-08,AAA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,6,5,5,5,6,6,6,6,6,6,6,6
000032.SZ,深桑达A,1993-10-28,A,A,A,A,A,A,BBB,BBB,BBB,A,A,A,4,4,4,4,4,4,3,3,3,4,4,4
000034.SZ,神州数码,1994-05-09,A,A,A,A,A,A,A,A,A,BBB,A,A,4,4,4,4,4,4,4,4,4,3,4,4
000035.SZ,中国天楹,1994-04-08,BBB,BBB,BBB,BBB,BBB,BBB,AA,AA,AA,AA,AA,AA,3,3,3,3,3,3,5,5,5,5,5,5
